Wilin Rosario,COL,5
Carlos Gonzalez,COL,42
Danny Salazar,CLE,3
Starling Marte,PIT,3
Troy Tulowitzki,COL,33
Andrew Cashner,SD,3
Ian Desmond,WSH,12
Kenley Jansen,LAD,1
Adrian Beltre,TEX,33
Andrew McCutchen,PIT,41
Jean Segura,MIL,3
Yu Darvish,TEX,26
Domonic Brown,PHI,3
Jayson Werth,WSH,1
Hyun-Jin Ryu,LAD,3
Doug Fister,WSH,7
Greg Holland,KC,1
Miguel Cabrera,DET,50
Jose Reyes,TOR,36
Coco Crisp,OAK,3
Tony Cingrani,CIN,3
David Ortiz,BOS,13
Oscar Taveras,STL,6
Taijuan Walker,SEA,3
Michael Wacha,STL,3
Buster Posey,SF,29
Paul Goldschmidt,ARI,22
Mark Trumbo,ARI,16
Shelby Miller,STL,1
Chris Sale,CWS,19
Yasiel Puig,LAD,3
Chris Davis,BAL,4
Max Scherzer,DET,17
Manny Machado,BAL,11
Billy Hamilton,CIN,3
Hunter Pence,SF,12
Mike Minor,ATL,5
Dustin Pedroia,BOS,28
Lance Lynn,STL,3
Hisashi Iwakuma,SEA,3
Bryce Harper,WSH,43
Chris Archer,TB,3
Wil Myers,TB,6
Jose Fernandez,MIA,1
Francisco Liriano,PIT,3
Alex Cobb,TB,3
Gerrit Cole,PIT,3
Jason Kipnis,CLE,23
Julio Teheran,ATL,1
Carlos Gomez,MIL,9
Adam Wainwright,STL,22
Homer Bailey,CIN,4
Clay Buchholz,BOS,1
Sonny Gray,OAK,3
Xander Bogaerts,BOS,1
Matt Carpenter,STL,3
Jurickson Profar,TEX,6
Jose Bautista,TOR,34
Shin-Soo Choo,TEX,13
Anthony Rizzo,CHC,13
